time,open,high,low,close,volume,return_1,return_5,return_10,log_return,high_low_ratio_5,close_position_5,high_low_ratio_10,close_position_10,high_low_ratio_20,close_position_20,high_low_ratio_50,close_position_50,spread,spread_pct,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,macd,macd_signal,macd_hist,sar,tenkan_sen,kijun_sen,senkou_span_a,rsi_14,stoch_k,stoch_d,williams_r,cci,roc_5,roc_10,roc_20,atr_14,bb_upper,bb_middle,bb_lower,bb_width,bb_position,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_50,donchian_low_50,donchian_mid_50,hv_10,hv_20,volume_sma_5,volume_sma_10,volume_sma_20,volume_sma_50,obv,vpt,cmf_20,doji,hammer,resistance,support,dist_to_resistance,dist_to_support,trend_strength,volatility_regime
2026-03-04 17:00:00,5144.32,5167.02,5131.28,5152.09,43217,0.001500669664118215,-0.007233656349296624,-0.001455539189084476,0.0014995447846388632,1.0145694641492962,0.2783574103798868,1.0163659826520193,0.35643564356435803,1.0241074537374915,0.5597715218278275,1.0841539767177468,0.3710636476072686,35.74000000000069,0.0069369906193410226,5166.282,5160.91165229201,5170.1140000000005,5164.007885533894,5154.3,5168.293283082381,5225.8568,5200.403305322745,-10.93036832951384,-15.693861872857623,4.763493543343783,5126.761565096758,5168.66,5109.29,5234.115,44.907927500822204,41.917814077125904,57.34635571878766,-64.3564356435642,-115.21390824221201,-0.7233656349296624,-0.1455539189084476,0.3044904554702299,39.28561275792142,5210.446000746487,5154.300000000006,5098.1539992535245,0.021786081813818012,0.4803191681453465,5206.04,5131.28,5168.66,5206.04,5122.21,5164.125,5206.04,5083.49,5144.764999999999,5416.52,4996.08,5206.3,0.03887083291810985,0.055228537957161886,34332.8,31180.4,31471.6,33401.8,2574505.0,-430.1135287765716,-0.009354385443421272,False,False,5206.04,5083.49,1.0471478565009504,1.3314984792579394,0.014115733136785966,low
2026-03-04 18:00:00,5152.16,5162.59,5138.36,5149.1,37456,-0.0005803470048076909,-0.008396402642170675,-0.0020795258758523616,-0.0005805154713131933,1.0145694641492962,0.23836276083467853,1.0145694641492962,0.23836276083467853,1.0241074537374915,0.5353733170134678,1.0841539767177468,0.36395205023308974,24.230000000000473,0.004705676720203622,5157.562,5156.97443486134,5169.041,5161.297360891367,5156.079,5166.46535136025,5220.9002,5198.3914109963625,-11.317466440453245,-14.818582786376748,3.501116345923503,5131.28,5168.66,5101.0599999999995,5232.86,44.349550573176025,31.384945723488197,42.49206005176737,-67.92317785995425,-99.87265371880434,-0.8396402642170675,-0.20795258758523616,0.695802500039111,38.21021184664135,5209.112200505027,5156.079000000006,5103.045799494985,0.02057113574288574,0.4342015950994233,5206.04,5131.28,5168.66,5206.04,5131.28,5168.66,5206.04,5083.49,5144.764999999999,5416.52,4996.08,5206.3,0.03891298589765885,0.05257453717800722,37552.8,31532.4,31320.4,33655.18,2537049.0,-451.8510061886485,0.011363345241712487,False,False,5206.04,5083.49,1.1058243188129886,1.2742032588219412,0.0137524559461723,low
2026-03-04 19:00:00,5149.11,5153.07,5120.28,5141.57,33773,-0.0014623914858908904,-0.005991230647880541,-0.005214258627228019,-0.001463461823949336,1.0148566094041733,0.279873800446954,1.0167490840344668,0.24825093283581984,1.0241074537374915,0.47392900856793013,1.0798766232726458,0.36457263136793017,32.789999999999964,0.006377429462207062,5151.364,5151.839623240894,5166.346,5157.710568002027,5158.3615,5164.0943655164165,5215.86,5196.163120369054,-12.092458220358822,-14.273357873173163,2.1808996528143414,5206.04,5163.16,5101.0599999999995,5196.2375,42.90278421922455,30.84849326002122,34.717084353545026,-75.17490671641802,-136.545373676179,-0.5991230647880541,-0.5214258627228019,0.8958146909684439,37.82305385759553,5204.295825844561,5158.361500000006,5112.427174155452,0.017809657521891075,0.31722274474180223,5196.35,5120.28,5158.3150000000005,5206.04,5120.28,5163.16,5206.04,5083.49,5144.764999999999,5395.15,4996.08,5195.615,0.03782538038280354,0.05112970649474912,38182.2,32255.9,31029.0,33591.92,2503276.0,-501.24035384164154,0.06271456831030994,False,True,5206.04,5083.49,1.2538971559270857,1.1296160511283504,0.014243097015613444,low
2026-03-04 20:00:00,5141.53,5143.52,5109.04,5134.13,33816,-0.0014470288258254804,-0.00687855558070205,-0.006680648369209785,-0.0014480767831084635,1.014879507696162,0.3300447250723494,1.0189859543084414,0.2586597938144345,1.0238657617278537,0.40741656365884105,1.0768122207810924,0.35973003960808864,34.48000000000047,0.006715840853270266,5144.252,5145.93641549393,5162.893,5153.423192001658,5160.5555,5161.2406164196145,5211.9646,5193.730448982033,-13.155343994127179,-14.049755097363967,0.8944111032367879,5204.3248,5157.54,5135.63,5186.1525,41.46352813744976,27.5892982683571,29.94091241728876,-74.13402061855655,-145.0248415368752,-0.687855558070205,-0.6680648369209785,0.8620401748440587,37.58426429633874,5196.336857978473,5160.555500000007,5124.774142021541,0.013867250523113656,0.1307364855197777,5185.06,5109.04,5147.05,5206.04,5109.04,5157.54,5206.04,5084.69,5145.365,5379.84,4996.08,5187.96,0.03795193431315279,0.05127888675579253,38045.8,32824.7,31696.4,33359.92,2469460.0,-550.173080615756,0.10177921698050596,False,True,5206.04,5084.69,1.4006267858429735,0.9629674355733203,0.014933831285011183,low
2026-03-04 21:00:00,5134.09,5139.57,5123.35,5137.49,25410,0.0006544438882536419,-0.0013373843638774252,-0.008797840670333845,0.000654229833238445,1.0113485116577674,0.49068644360123465,1.0189859543084414,0.2932989690721631,1.0195986267056014,0.31497951433995824,1.0768122207810924,0.3684855117781941,16.219999999999345,0.0031571837609415,5142.876,5143.12094366262,5158.3330000000005,5150.526248001357,5161.1695,5158.978652951079,5208.4228,5191.524941178815,-13.570136620364792,-13.953831401964132,0.3836947815993401,5200.513408000001,5157.54,5135.63,5180.8099999999995,42.40325483064915,26.673656524080624,28.370482684152904,-70.67010309278369,-104.77354518910902,-0.13373843638774252,-0.8797840670333845,0.23959993834399285,36.05824541802878,5194.864309374784,5161.169500000006,5127.4746906252285,0.01305704428997257,0.1486179853901802,5167.02,5109.04,5138.030000000001,5206.04,5109.04,5157.54,5206.04,5105.97,5156.005,5379.84,4996.08,5187.96,0.0337848159028021,0.04533816083586049,34734.4,32945.3,31676.75,32977.18,2494870.0,-533.543661415231,0.09936938006508314,False,True,5206.04,5105.97,1.3343091665385272,0.6135291747526423,0.01361886366058153,low
2026-03-04 22:00:00,5137.51,5146.63,5123.59,5135.49,27844,-0.0003892951616450979,-0.003221993404618373,-0.010432342960866259,-0.0003893709566782695,1.010481421167186,0.4939309056956065,1.0189859543084414,0.27268041237113216,1.0189859543084414,0.27268041237113216,1.0768122207810924,0.36327392120074986,23.039999999999964,0.004486426806400161,5139.556,5140.5772957750805,5152.919,5147.792384728383,5160.96,5156.741638384309,5205.3436,5189.327492505136,-13.900015326159519,-13.943068186803211,0.043052860643692625,5196.854471680001,5157.54,5142.610000000001,5168.965,41.97133493987001,27.48797250859103,27.250309100342843,-72.73195876288679,-90.16058545162765,-0.3221993404618373,-1.0432342960866259,-0.08152258506367582,35.12837074531244,5195.233783563344,5160.960000000007,5126.68621643667,0.013281941175028279,0.12843320240761188,5162.59,5109.04,5135.8150000000005,5206.04,5109.04,5157.54,5206.04,5109.04,5157.54,5379.84,4996.08,5187.96,0.03181137708608179,0.04422127644111613,31659.8,32996.3,31671.7,32657.36,2467026.0,-544.383195896077,0.058337254943894336,True,False,5206.04,5109.04,1.3737734860743607,0.5150433551618213,0.013419594433663548,low
2026-03-04 23:00:00,5135.48,5143.97,5129.46,5139.18,13442,0.0007185292932125886,-0.0019265502709211457,-0.010306776821306762,0.0007182712746285292,1.0086180574041306,0.6845332727685782,1.0189859543084414,0.31072164948453945,1.0189859543084414,0.31072164948453945,1.0768122207810924,0.37288930581613583,14.510000000000218,0.00282340762534105,5137.572,5140.11153051672,5147.567000000001,5146.226496595949,5159.1849999999995,5155.069101395327,5201.9886,5187.360924171602,-13.705703596213425,-13.895595268685254,0.1898916724718287,5193.3418928128,5152.695,5144.764999999999,5164.9775,43.122468730577005,29.22336769759453,27.79499891008865,-68.92783505154605,-71.06923144189155,-0.19265502709211457,-1.0306776821306762,-0.6860327595136329,33.655629977790134,5194.103701862772,5159.185000000007,5124.266298137241,0.01353651860236271,0.21354891601313689,5153.07,5109.04,5131.055,5206.04,5109.04,5157.54,5206.04,5109.04,5157.54,5379.84,4996.08,5187.96,0.03200024371105751,0.03628663049357486,26857.0,32204.9,30377.85,32175.76,2480468.0,-534.7247251367135,0.016575868168366086,False,False,5206.04,5109.04,1.3009857603742168,0.5864748850984073,0.012073959562287132,low
2026-03-05 01:00:00,5147.37,5166.16,5144.86,5166.15,16419,0.005247918928700468,0.004780640932633418,-0.001239231637719218,0.0052341965903683054,1.0111801825783318,0.999824929971985,1.0170893161924746,0.6541060588706838,1.0189859543084414,0.5887628865979347,1.0768122207810924,0.4431676047529696,21.300000000000182,0.004122992944455771,5142.487999999999,5148.791020344481,5146.9259999999995,5149.848951760322,5159.7275,5156.124425071963,5198.9914,5186.529123223696,-11.245821715529928,-13.365640558054189,2.1198188425242606,5189.969817100288,5147.05,5144.764999999999,5159.014999999999,50.80406848329139,39.07216494845358,31.9278350515463,-41.123711340206526,5.628748498162597,0.47806409326334176,-0.12392316377192181,0.21046301864100503,33.17879926509081,5194.7249586903245,5159.727500000006,5124.730041309688,0.013565622870710937,0.5917566623454585,5166.16,5109.04,5137.6,5196.35,5109.04,5152.695,5206.04,5109.04,5157.54,5379.84,4996.08,5187.96,0.04085360006046036,0.039036307751428585,23386.2,30784.2,29469.35,31871.38,2496887.0,-448.55914424638047,0.09969245080401402,False,False,5206.04,5109.04,0.7721417303020689,1.105465385248196,0.006316879077725938,low
2026-03-05 02:00:00,5166.15,5179.82,5159.44,5172.86,19938,0.0012988395613755532,0.007543634461924409,0.0006131895722953917,0.0012979967989356577,1.0110220851591243,0.8767487161324576,1.014879507696162,0.8395159168639745,1.0189859543084414,0.657938144329894,1.0768122207810924,0.4606524911402951,20.38000000000011,0.003939793460484163,5150.2339999999995,5156.814013562987,5147.2429999999995,5154.03277871299,5159.635,5157.718289350824,5195.8386,5185.993079175708,-8.655135664104819,-12.423539579264316,3.7684039151594977,5186.732624416277,5144.43,5144.764999999999,5149.65,52.52209071784025,51.91408934707898,40.06987399770895,-34.20618556701061,49.75427342439332,0.7543634461924409,0.06131895722953917,-0.035750795696776194,32.264599317584334,5194.483032079471,5159.635000000006,5124.7869679205405,0.01350794468192619,0.6897524653592573,5179.82,5123.35,5151.585,5185.06,5109.04,5147.05,5206.04,5109.04,5157.54,5379.84,4996.08,5187.96,0.041359071796193594,0.036894794665619825,20610.6,29328.2,28862.8,31726.18,2516825.0,-422.6628810716747,0.06579425992291085,False,False,5206.04,5109.04,0.6414246664321148,1.2337469021005731,0.004422500729710147,low
2026-03-05 03:00:00,5172.82,5186.43,5167.57,5171.76,33533,-0.0002126483222045783,0.0066705725947886485,0.005324267111424863,-0.00021267093506482785,1.0122648377407248,0.7665499681731375,1.015147659834333,0.8104406254037988,1.0189859543084414,0.6465979381443325,1.0768122207810924,0.45778611632270216,18.860000000000582,0.003646727613037067,5157.088,5161.796009041992,5149.982,5157.255909856082,5160.4235,5159.055595126936,5192.604200000001,5185.4349192080335,-6.614511143312484,-11.261733892073952,4.647222748761468,5109.04,5147.735000000001,5145.365,5148.625,52.20026028543381,63.10996563573875,51.365406643757034,-35.34020618556675,75.62281722933571,0.6670572594788649,0.5324267111424863,0.3058578468926543,31.307127937756924,5195.617879250524,5160.423500000005,5125.229120749486,0.013640112773891112,0.6610555469568016,5186.43,5123.59,5155.01,5186.43,5109.04,5147.735000000001,5206.04,5109.04,5157.54,5379.84,4996.08,5187.96,0.03101325606101203,0.034379432874976176,22235.2,28484.8,29229.65,31693.92,2483292.0,-429.79361726016083,0.0658244133026318,True,False,5206.04,5109.04,0.6628304484353439,1.212739956997236,0.004014209286346206,low
2026-03-05 04:00:00,5172.04,5192.65,5172.01,5192.65,28029,0.004039243893761313,0.011130388726294793,0.007872533282609506,0.004031108049226292,1.0123190355320053,1.0,1.0163651096879256,1.0,1.0189859543084414,0.8619587628865946,1.0768122207810924,0.5122211799041057,20.639999999999418,0.00397484906550594,5168.5199999999995,5172.080672694661,5154.038,5163.691198973158,5162.076,5162.255062257705,5190.0096,5185.717863552816,-3.273913457297567,-9.664169805118675,6.390256347821108,5110.5878,5150.844999999999,5156.005,5136.8724999999995,57.52337193285023,72.21649484536074,62.41351660939275,-13.804123711340544,123.35349071597474,1.1130388726294793,0.7872533282609506,0.6405535312814736,30.563047370774246,5199.961289174771,5162.076000000005,5124.190710825238,0.0146783151486985,0.9035075442997921,5192.65,5129.46,5161.055,5192.65,5109.04,5150.844999999999,5206.04,5109.04,5157.54,5379.84,4996.08,5187.96,0.0355218607047211,0.03702325485298919,22272.2,26966.0,29073.2,31888.94,2511321.0,-316.577650161925,0.11815550016939462,False,False,5206.04,5109.04,0.25786448152677977,1.6101605153437972,0.0005087466504867795,low
